,0,1,2,3,4,5,6,7,8
0,1730818,5,40000,25055,0.99,77,0.01,25,0.0
,0,1,2,3,4,5,6,7,8
0,100007313444,5,9297,1946,0.98,15,0.014,13,0.006
,0,1,2,3,4,5,6,7,8
0,33955398236,5,2676,718,0.95,20,0.032,14,0.018
,0,1,2,3,4,5,6,7,8
0,5255017,5,251310,121327,0.99,339,0.009,235,0.001
,0,1,2,3,4,5,6,7,8
0,10023008602436,5,224623,66322,0.93,2319,0.04,2124,0.03
,0,1,2,3,4,5,6,7,8
0,100017473196,5,179438,52635,0.99,211,0.009,93,0.001
,0,1,2,3,4,5,6,7,8
0,100005852487,5,9691,2261,0.99,10,0.004,12,0.006
,0,1,2,3,4,5,6,7,8
0,46151608843,5,80089,16680,0.95,430,0.034,293,0.016
,0,1,2,3,4,5,6,7,8
0,11523381375,5,13275,3348,0.98,32,0.013,26,0.007
,0,1,2,3,4,5,6,7,8
0,100000217807,5,78963,16524,0.99,64,0.008,38,0.002
,0,1,2,3,4,5,6,7,8
0,5985120,5,65692,18350,0.99,59,0.009,22,0.001
,0,1,2,3,4,5,6,7,8
0,100008509233,5,65732,15339,0.99,72,0.009,24,0.001
,0,1,2,3,4,5,6,7,8
0,63185321856,5,45758,7160,0.98,78,0.011,66,0.009
,0,1,2,3,4,5,6,7,8
0,100007313442,5,13007,1834,0.99,4,0.009,3,0.001
,0,1,2,3,4,5,6,7,8
0,10022431534190,5,1659,483,0.98,4,0.012,4,0.008
,0,1,2,3,4,5,6,7,8
0,10022431534190,5,1660,486,0.98,5,0.012,4,0.008
,0,1,2,3,4,5,6,7,8
0,100008885699,5,1898,329,0.94,15,0.052,3,0.008
,0,1,2,3,4,5,6,7,8
0,531086,5,132730,62678,0.98,533,0.017,196,0.003
,0,1,2,3,4,5,6,7,8
0,2364930,5,278844,136996,0.99,327,0.009,187,0.001
,0,1,2,3,4,5,6,7,8
0,5700646,5,26465,8412,0.99,35,0.009,9,0.001
,0,1,2,3,4,5,6,7,8
0,10021550544100,5,336,41,0.97,0,0.0,1,0.03
,0,1,2,3,4,5,6,7,8
0,10659027302,5,12918,5040,0.96,68,0.013,115,0.027
,0,1,2,3,4,5,6,7,8
0,35781638906,5,3739,615,0.99,1,0.009,1,0.001
,0,1,2,3,4,5,6,7,8
0,903423,5,423264,249104,0.99,1168,0.008,592,0.002
,0,1,2,3,4,5,6,7,8
0,100017009504,5,863,179,0.99,1,0.01,0,0.0
,0,1,2,3,4,5,6,7,8
0,851672,5,2607646,1483098,0.99,7065,0.008,3896,0.002
,0,1,2,3,4,5,6,7,8
0,1,4,1,1,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,46569720265,5,406,58,0.98,1,0.02,0,0.0
,0,1,2,3,4,5,6,7,8
0,63541201689,5,1616,266,0.96,7,0.03,3,0.01
,0,1,2,3,4,5,6,7,8
0,1614485,5,52620,28163,0.99,125,0.007,86,0.003
,0,1,2,3,4,5,6,7,8
0,1758797688,5,13078,5957,0.99,26,0.008,15,0.002
,0,1,2,3,4,5,6,7,8
0,983171,5,29314,15982,0.99,52,0.009,26,0.001
,0,1,2,3,4,5,6,7,8
0,10049863291,5,4523,2490,0.98,20,0.015,13,0.005
,0,1,2,3,4,5,6,7,8
0,100016718126,5,59792,38617,0.99,222,0.008,90,0.002
,0,1,2,3,4,5,6,7,8
0,1994805,5,23441,11902,0.98,97,0.017,44,0.003
,0,1,2,3,4,5,6,7,8
0,1759414261,5,8272,5608,0.99,38,0.008,12,0.002
,0,1,2,3,4,5,6,7,8
0,100008557693,5,543080,380989,0.99,1760,0.008,964,0.002
,0,1,2,3,4,5,6,7,8
0,100004877132,5,466765,80520,0.99,514,0.007,245,0.003
,0,1,2,3,4,5,6,7,8
0,29006118835,5,37321,11606,0.98,112,0.012,106,0.008
,0,1,2,3,4,5,6,7,8
0,794422,5,572697,350093,0.99,1034,0.009,516,0.001
,0,1,2,3,4,5,6,7,8
0,1758830782,5,11502,6629,0.99,17,0.009,8,0.001
,0,1,2,3,4,5,6,7,8
0,548354,5,203627,116781,0.99,280,0.009,120,0.001
,0,1,2,3,4,5,6,7,8
0,1178878,5,102312,75761,0.99,299,0.009,148,0.001
,0,1,2,3,4,5,6,7,8
0,100006854434,5,96892,18193,0.99,85,0.008,49,0.002
,0,1,2,3,4,5,6,7,8
0,1758954857,5,11918,7373,0.99,38,0.008,18,0.002
,0,1,2,3,4,5,6,7,8
0,967615,5,340267,212966,0.99,706,0.008,455,0.002
,0,1,2,3,4,5,6,7,8
0,100009556049,5,4174,597,0.98,9,0.016,3,0.004
,0,1,2,3,4,5,6,7,8
0,8237143,5,392151,105384,0.99,528,0.008,299,0.002
,0,1,2,3,4,5,6,7,8
0,10023178887879,5,163273,49851,0.96,1343,0.03,531,0.01
,0,1,2,3,4,5,6,7,8
0,100009084853,5,128866,90713,0.99,415,0.008,219,0.002
,0,1,2,3,4,5,6,7,8
0,30494640062,5,65828,23888,0.98,249,0.012,208,0.008
,0,1,2,3,4,5,6,7,8
0,45070763301,5,518,101,0.98,0,0.0,2,0.02
,0,1,2,3,4,5,6,7,8
0,1465878678,5,2901,2050,0.98,10,0.004,12,0.016
,0,1,2,3,4,5,6,7,8
0,100009492046,5,17257,3474,0.98,28,0.015,18,0.005
,0,1,2,3,4,5,6,7,8
0,100015747184,5,3234,469,0.98,5,0.018,1,0.002
,0,1,2,3,4,5,6,7,8
0,1436003,5,527208,342892,0.99,1168,0.009,606,0.001
,0,1,2,3,4,5,6,7,8
0,100005343215,5,38986,29584,0.98,347,0.014,201,0.006
,0,1,2,3,4,5,6,7,8
0,10025159215398,5,0,0,1.0,0,0.0,0,0.0
,0,1,2,3,4,5,6,7,8
0,100011112170,5,146828,47092,0.99,159,0.009,74,0.001
,0,1,2,3,4,5,6,7,8
0,100016269804,5,4898,692,0.98,1,0.001,6,0.019
,0,1,2,3,4,5,6,7,8
0,10023178887879,5,163273,49851,0.96,1343,0.03,531,0.01
,0,1,2,3,4,5,6,7,8
0,100009084853,5,128866,90713,0.99,415,0.008,219,0.002
,0,1,2,3,4,5,6,7,8
0,1178878,5,102312,75761,0.99,299,0.009,148,0.001
